"EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"52.77497853024169","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000258648","false","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000258648","0.127",,,"0.883",,,,"0.907","0.155"
"53.1702166254798","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000297347","false","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000297347","0.058",,,"0.866",,,,"0.895","0.239"
"123.73302574618364","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000392094","false","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000392094","0.638",,,"0.194",,,"0.095","0.769","0.23"
"55.34603174603172","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000222718","false","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000222718",,,"0.5",,,,,"0.502","0.046"
"22.906576756576754","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000392028","false","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000392028","0.044",,,"0.306",,,"0.043","0.513","0.324"
"52.7749785302417","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000481733","false","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000481733","0.113",,,"0.893",,,,"0.916","0.183"
"34.19445554445554","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000301067","false","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000301067","0.047",,"0.5",,,,,"0.534","0.102"
"52.77497853024169","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000292035","false","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000292035","0.082",,,"0.899",,,,"0.912","0.127"
"64.9980554533186","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000370938","false","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000370938","0.049",,,"0.254",,,,"0.514","0.371"
"131.7546287046287","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000410294","false","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000410294",,,"0.5",,,,,"0.499",
"179.13333333333335","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000371253","false","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000371253","0.134",,,,,,"0.045","0.438","0.376"
"9.787395937395939","pp","9606.ENSP00000297347 (pp) 9606.ENSP00000363193","false","pp","9606.ENSP00000297347 (pp) 9606.ENSP00000363193","0.118",,"0.9","0.994",,,,"0.999","0.754"
"2.7","pp","9606.ENSP00000297347 (pp) 9606.ENSP00000481733","false","pp","9606.ENSP00000297347 (pp) 9606.ENSP00000481733","0.042",,"0.9","0.984",,,,"0.999","0.772"
"4.624242424242424","pp","9606.ENSP00000297347 (pp) 9606.ENSP00000370938","false","pp","9606.ENSP00000297347 (pp) 9606.ENSP00000370938","0.049",,"0.9","0.869",,,,"0.997","0.805"
"14.282957393483693","pp","9606.ENSP00000297347 (pp) 9606.ENSP00000417235","false","pp","9606.ENSP00000297347 (pp) 9606.ENSP00000417235",,,"0.54","0.197",,,,"0.715","0.291"
"95.69999999999999","pp","9606.ENSP00000264220 (pp) 9606.ENSP00000371253","false","pp","9606.ENSP00000264220 (pp) 9606.ENSP00000371253","0.967","0.288","0.984","0.299","0.672",,"0.356","0.999","0.978"
"4.0","pp","9606.ENSP00000264220 (pp) 9606.ENSP00000313490","false","pp","9606.ENSP00000264220 (pp) 9606.ENSP00000313490","0.117",,,"0.215",,,,"0.987","0.983"
"35.3","pp","9606.ENSP00000264220 (pp) 9606.ENSP00000379845","false","pp","9606.ENSP00000264220 (pp) 9606.ENSP00000379845","0.047",,,,,,"0.045","0.467","0.462"
"38.95238095238094","pp","9606.ENSP00000215530 (pp) 9606.ENSP00000410294","false","pp","9606.ENSP00000215530 (pp) 9606.ENSP00000410294",,,"0.9","0.296",,,,"0.999","0.99"
"7.3000000000000025","pp","9606.ENSP00000215530 (pp) 9606.ENSP00000242261","false","pp","9606.ENSP00000215530 (pp) 9606.ENSP00000242261","0.086",,,,,,,"0.427","0.399"
"35.74761904761905","pp","9606.ENSP00000215530 (pp) 9606.ENSP00000323588","false","pp","9606.ENSP00000215530 (pp) 9606.ENSP00000323588",,,,,,,,"0.589","0.589"
"2.0","pp","9606.ENSP00000215530 (pp) 9606.ENSP00000334122","false","pp","9606.ENSP00000215530 (pp) 9606.ENSP00000334122","0.054","0.063","0.4",,,,,"0.712","0.523"
